k,silhouette,calinski_harabasz,method
2,0.58430105,53.013042,VAE_latent + KMeans
3,0.48114815,53.57404,VAE_latent + KMeans
4,0.47805604,53.150047,VAE_latent + KMeans
5,0.36537036,50.60482,VAE_latent + KMeans
6,0.34980208,47.081833,VAE_latent + KMeans
7,0.3364081,45.251877,VAE_latent + KMeans
8,0.28104022,44.782852,VAE_latent + KMeans
9,0.262474,43.206715,VAE_latent + KMeans
10,0.26640537,44.008034,VAE_latent + KMeans
2,0.28374207,10.321479,PCA + KMeans
3,0.22353032,7.693039,PCA + KMeans
4,0.18856168,6.7279367,PCA + KMeans
5,0.18963622,6.2257442,PCA + KMeans
6,0.1846588,5.932888,PCA + KMeans
7,0.1696162,5.8243904,PCA + KMeans
8,0.14258938,5.8133516,PCA + KMeans
9,0.13665617,5.6045246,PCA + KMeans
10,0.14571835,5.9986415,PCA + KMeans
