method,k,silhouette,NMI,ARI,purity
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,2,0.15872225165367126,0.0520939602854405,-0.00043104160837298324,0.27848101265822783
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,3,0.16957302391529083,0.12053527412720356,-0.0007129245471213236,0.3037974683544304
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,4,0.11164503544569016,0.13489422825814845,-0.008785713953390993,0.2911392405063291
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,5,0.06998307257890701,0.15539833062054859,-0.00912779818332042,0.31645569620253167
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,6,0.08550683408975601,0.21968794734186117,0.004399208318823586,0.34177215189873417
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,7,0.08382725715637207,0.18146388509575082,-0.01590525442532344,0.3291139240506329
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,8,0.06703175604343414,0.24689192176080665,0.027133698660596953,0.379746835443038
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,9,0.06934182345867157,0.2638731287532309,0.02969783367083177,0.3924050632911392
CVAE(audio|genre+lang)+Lyrics+Cond → KMeans,10,0.05300741642713547,0.29902025909534846,0.047482062905059845,0.4050632911392405
PCA(flat_spectrogram) → KMeans,2,-0.01057128980755806,0.09274554400182398,0.01710887535654111,0.27848101265822783
PCA(flat_spectrogram) → KMeans,3,0.057605162262916565,0.05341110364530391,0.003762183230845059,0.3037974683544304
PCA(flat_spectrogram) → KMeans,4,0.060148026794195175,0.06577941841983838,-0.0041455499507572794,0.3037974683544304
PCA(flat_spectrogram) → KMeans,5,0.05516023188829422,0.08058301008281489,-0.004234181043928216,0.31645569620253167
PCA(flat_spectrogram) → KMeans,6,0.03729446604847908,0.12829782622373226,0.00825939346505811,0.3291139240506329
PCA(flat_spectrogram) → KMeans,7,0.055910829454660416,0.16680400905333337,0.011657113361020488,0.3291139240506329
PCA(flat_spectrogram) → KMeans,8,0.05501032993197441,0.11129563656840678,-0.027439318881176778,0.3291139240506329
PCA(flat_spectrogram) → KMeans,9,0.05827079340815544,0.1586697563783902,-0.010474744640061671,0.34177215189873417
PCA(flat_spectrogram) → KMeans,10,0.055697906762361526,0.1591667663514745,-0.012318372130686804,0.3670886075949367
Autoencoder(audio) → KMeans,2,0.2821509540081024,0.08335317235461691,-0.0022227263574052217,0.27848101265822783
Autoencoder(audio) → KMeans,3,0.23364585638046265,0.0936551117769818,-0.022581263772056808,0.2911392405063291
Autoencoder(audio) → KMeans,4,0.20297302305698395,0.14015495903914538,-0.00445373387355308,0.31645569620253167
Autoencoder(audio) → KMeans,5,0.1983172744512558,0.1809873603367953,0.0008346879750938345,0.31645569620253167
Autoencoder(audio) → KMeans,6,0.2177630066871643,0.17834761583211317,-0.015137943769713075,0.3037974683544304
Autoencoder(audio) → KMeans,7,0.2225588858127594,0.2204643690364397,-0.009551401707629022,0.34177215189873417
Autoencoder(audio) → KMeans,8,0.21821589767932892,0.2205780490606186,-0.017143996422047517,0.31645569620253167
Autoencoder(audio) → KMeans,9,0.2205255776643753,0.23887601295079955,-0.0033827210131826837,0.3670886075949367
Autoencoder(audio) → KMeans,10,0.23355650901794434,0.2576064840324429,-0.008987662106967765,0.35443037974683544
DirectSpectral(MFCC mean+std) → KMeans,2,0.17663922905921936,0.09050036788380654,0.04181902018899553,0.27848101265822783
DirectSpectral(MFCC mean+std) → KMeans,3,0.12447643280029297,0.1651558284708072,0.07247884058578873,0.3670886075949367
DirectSpectral(MFCC mean+std) → KMeans,4,0.12189356982707977,0.22493707900021156,0.08316918457172945,0.3924050632911392
DirectSpectral(MFCC mean+std) → KMeans,5,0.1255185753107071,0.23034446152733493,0.06929773811782892,0.3670886075949367
DirectSpectral(MFCC mean+std) → KMeans,6,0.11744548380374908,0.22746539058248985,0.08463047017808648,0.3924050632911392
DirectSpectral(MFCC mean+std) → KMeans,7,0.061674293130636215,0.2796835935894081,0.08886588791956232,0.4430379746835443
DirectSpectral(MFCC mean+std) → KMeans,8,0.12636668980121613,0.29319745623228044,0.09564812917905653,0.4430379746835443
DirectSpectral(MFCC mean+std) → KMeans,9,0.05687673017382622,0.2910409287408902,0.055839353665578365,0.4177215189873418
DirectSpectral(MFCC mean+std) → KMeans,10,0.03161182627081871,0.3196460685151664,0.05400304617022263,0.4177215189873418
